,Sample Date,Address,1st Draw,2/3 Min,5 Min
130,2016-03-01 00:00:00,7300 S HOYNE AVE,1.0,1.0,1.0
131,2016-03-02 00:00:00,4500 N FRANCISCO AVE,62.0,1.94,2.44
132,2016-03-02 00:00:00,2700 N LAKEWOOD AVE,1.0,1.0,1.0
133,2016-03-02 00:00:00,1800 N ALBANY AVE,1.0,1.0,1.0
134,2016-03-02 00:00:00,7300 S HERMITAGE AVE,6.33,1.0,1.0
135,2016-03-02 00:00:00,3700 N KEDVALE AVE,28.7,2.3,1.09
136,2016-03-02 00:00:00,1300 W FLETCHER ST,1.0,1.0,1.0
137,2016-03-02 00:00:00,3600 S GILES AVE,2.34,10.5,1.92
138,2016-03-03 00:00:00,1400 W NORWOOD ST,2.49,1.42,1.22
139,2016-03-03 00:00:00,7500 S HERMITAGE AVE,5.21,1.59,1.53
140,2016-03-03 00:00:00,7400 S ABERDEEN ST,3.28,2.82,1.0
141,2016-03-03 00:00:00,7000 N GREENVIEW AVE,1.0,1.0,1.0
142,2016-03-03 00:00:00,500 W WEBSTER AVE,3.75,1.43,1.12
143,2016-03-03 00:00:00,3400 W WRIGHTWOOD AVE,5.99,2.07,1.72
144,2016-03-04 00:00:00,1800 W CUYLER AVE,131.0,4.86,1.91
145,2016-03-04 00:00:00,600 W WELLINGTON AVE,1.2,1.83,1.6
146,2016-03-04 00:00:00,9900 S AVENUE H,1.0,1.0,1.0
147,2016-03-04 00:00:00,1800 W CUYLER AVE,131.0,4.86,1.91
148,2016-03-05 00:00:00,8700 S SAGINAW AVE,1.0,1.0,1.0
149,2016-03-05 00:00:00,5000 S WASHTENAW,26.8,2.3,3.83
150,2016-03-05 00:00:00,8000 S CONSTANCE AVE,144.0,3.18,2.8
151,2016-03-05 00:00:00,00 E 89TH PL,1.0,1.0,1.0
152,2016-03-05 00:00:00,5000 S WASHTENAW**,26.8,2.3,3.83
153,2016-03-05 00:00:00,3800 N BERNARD ST,9.04,2.3,1.6
154,2016-03-05 00:00:00,8000 S CONSTANCE AVE,144.0,3.18,2.8
155,2016-03-08 00:00:00,3300 N RACINE AVE,1.0,1.0,1.0
156,2016-03-10 00:00:00,2100 W BELLE PLAINE,24.3,5.22,5.49
157,2016-03-10 00:00:00,2100 W BELLE PLAINE,24.3,5.22,5.49
158,2016-03-10 00:00:00,2100 W BELLE PLAINE,24.3,5.22,5.49
