Name,Street Dir,Street Num
Jasper Pl,W,1444
Jean Ave,W,6024
Jefferson S,W,600
Jeffery Dr,E,2200
Jeffery Blvd,E,2000
Jeffery Ave,E,2000
Jensen Blvd,W,5600
Jerome St,N,7534
Jersey Ave,W,3200
Jessie Court,W,2050
Jones St,W,2318
Jonquil Terrace,N,7700
Jourdan Court,W,812
Joyce Lane,N,4064
Julia Court,N,2142
Julian St,N,1450
Juneway Terrace,N,7736
Junior Terrace,N,4323
Justine St,W,1532
Kamerling Ave,N,1332
Karlov Ave,W,4100
Kasson Ave,W,4032
Kearsarge Ave,W,4152
Keating Ave,W,4732
Kedvale Ave,W,4132
Kedzie Blvd,W,3200
Kedzie Ave,W,3200
Keefe Ave,E,524
Keeler Ave,W,4200
Keeley St,W,1200
Keene Ave,W,4700
Kelso Ave,W,4134
Kemper Pl,N,2332
Kenmore Ave,W,1038
Kenneth Ave,W,4432
Kennicot Ave,W,4240
Kennison Ave,W,4500
Kenosha Ave,W,4238
Kensington Ave,S,11552
Kenton Ave,W,4600
Kentucky Ave,W,4624
Kenwood Ave,E,1332
Keokuk Ave,W,4144
Keota Ave,W,5800
Kerbs Ave,W,4724
Kercheval Ave,W,460
Kerfoot Ave,W,700
Kewanee Ave,W,4200
Keystone Ave,W,4032
Kilbourn Ave,W,4500
Kildare Blvd,W,4300
Kildare Ave,W,4300
Kilpatrick Ave,W,4700
Kimball Ave,W,3400
Kimbark Ave,E,1300
Kimberly Ave,W,4700
Kingsbury St,W,400
Kingsdale Ave,W,4744
Kingston Ave,E,2524
Kinzie St,N,400
Kinzua Ave,W,5432
Kiona Ave,W,4250
Kirby Ave,W,4660
Kirkland Ave,W,4338
Kirkwood Ave,W,4600
Knox Ave,W,4632
Kolin Ave,W,4332
Kolmar Ave,W,4532
Komensky Ave,W,4032
Kostner Ave,W,4400
Kreiter Ave,E,3526
Kruger Ave,W,4800
La Crosse Ave,W,4832
La Salle Dr,W,140
La Salle Dr,N,140
La Salle St,W,140
Lacey Ave,W,4700
Lafayette Ave,W,30
Lafayette St,W,30
Laflin St,W,1500
Laflin Pl,W,1500
Lake St,N,200
Lake Park Ave,E,428
Lake Shore Dr,W,934
Lake Shore Dr,N,1000
Lakeside Pl,N,4732
Lakeview Ave,W,400
Lakewood Ave,W,1300
Lambert Ave,W,4824
Lamon Ave,W,4900
Landers Ave,W,5000
Langley Ave,E,700
Lansing Ave,W,4900
Laporte Ave,W,4932
Laramie Ave,W,5200
Larchmont Ave,N,3932
Larned Ave,W,5232
Larrabee St,W,600
Las Casas Ave,W,4924
Latham Ave,W,5000
Latrobe Ave,W,5232
Lavergne Ave,W,5000
Lawler Ave,W,5032
Lawndale Ave,W,3700
Lawrence Dr,N,4800
Lawrence Ave,N,4800
Le Mai Ave,W,5232
Le Moyne St,N,1500
Le Moyne Dr,N,1500
Leader Ave,W,5124
Leamington Ave,W,5132
Leavenworth Ave,W,5300
Leavitt St,W,2200
Leclaire Ave,W,5100
Lee Pl,N,740
Legett Ave,W,5145
Lehigh Ave,W,5400
Lehmann Court,W,600
Leland Ave,N,4700
Lemont Ave,W,5000
Lenox Ave,W,5124
Leona Ave,W,5150
Leonard Ave,W,5248
Leoti Ave,W,4924
Leroy Ave,W,5200
Lessing St,W,928
Lester Ave,W,5500
Lexington St,S,728
Leyden Ave,E,200
Liano Ave,W,5256
Liberty St,S,1344
Lieb Ave,W,5444
Lightfoot Ave,W,5924
Lill Ave,N,2534
Lincoln Ave,W,164
Lincoln Park,W,300
Lind Ave,W,5300
Linden Pl,W,3000
Linder Ave,W,5500
Lipps Ave,W,5300
Lister Ave,W,1830
Lithuanian Plaza Court,S,6900
Lituanica Ave,W,900
Livermore Ave,W,5520
Lloyd Ave,W,1300
Lock St,W,1500
Lockwood Ave,W,5300
Locust St,N,900
Logan Blvd,N,2600
Loleta Ave,W,5826
London Ave,W,5348
Long Ave,W,5400
Longmeadow Ave,W,4930
Longwood Dr,W,2100
Loomis St,W,1400
Loomis Pl,W,1416
Loomis Blvd,W,1400
Loop Dr,E,500
Lorel Ave,W,5332
Loring Ave,W,5450
Loris Pl,W,12436
Loron Ave,W,5900
Lothair Ave,W,2000
Lotus Ave,W,5432
Louise Ave,W,4900
Lovejoy Ave,W,5444
Lowe Ave,W,632
Lowell Ave,W,4332
Loyola Ave,N,6550
Lucerne Ave,W,5100
Ludlam Ave,W,5470
Luella Ave,E,2232
Lumber St,W,401
Luna Ave,W,5532
Lundy Ave,W,5600
Lunt Ave,N,7000
Luther St,S,2442
Lyman St,W,1028
Lynch Ave,W,5500
Lyndale St,N,2232
Lynn White Dr,E,800
Lyon Ave,E,628
Lytle St,W,1242
Mac Chesney Court,E,72
Mackinaw Ave,E,3332
Madison St,N,0
Madison Ave Park,S,5038
Magnet Ave,W,5642
Magnolia Ave,W,1232
Major Ave,W,5700
Malden St,W,1300
Malta St,W,1506
Mandell Ave,W,5624
Mango Ave,W,5732
Manila Ave,W,5800
Manistee Ave,E,2734
Mankato Ave,W,6300
Mann Dr,S,6800
Mannheim Rd,W,10400
Manor Dr,W,2734
Manton Ave,W,5600
Maple St,N,1100
Maplewood Ave,W,2532
Marble Pl,S,120
Marcey St,W,1000
