,zip,1st Draw,2/3 Min,5 Min,median_INC_2017-2021,per_capita_INC_2017-2021,major_crime_2018-2022,violent_crime_2018-2022,public_crime_2012-2016,behavioral_ health_hospitalizations_2017,cognitive_difficulty_percent_2017-2021,poverty_rate_percent_2017-2021,high_school_grad_rate_2017-2021,college_grad_rate_2017-2021,non_hispanic_white_percent_2017-2021
25,60630,8.809322191272052,5.836768802228412,2.792460538532962,84220.0,40999.0,918.6140392,136.3946505,159.0182812,522.0,3.49759810007017,7.26148186883531,91.2235605170388,43.7230708969839,56.3490493065424
26,60631,4.735350052246604,6.579561128526646,2.9364158829676072,103588.0,51385.0,236.405837,26.29131349,14.5213915,254.0,2.59029551258665,6.48659437163196,94.4068949875255,48.5552279428442,76.3673215861911
27,60632,7.835388739946381,4.818766756032172,3.6431635388739947,48791.0,20041.0,1850.434141,492.6610632,974.1205161,790.0,2.85707726390946,16.2508063772924,70.1173882467497,12.4204338496493,9.05772641455461
28,60633,5.769823008849557,7.346194690265487,3.193097345132743,54074.0,27136.0,192.9826864,43.22452126,47.27356222,158.0,2.50664947207222,14.7187196896217,85.621139327385,14.6305193319607,31.8683919835884
29,60634,5.991770428015564,6.33443579766537,2.9988326848249027,75878.0,33915.0,1045.357086,174.2842787,287.3667403,815.0,2.97138569802339,9.31347150259068,87.3223945185719,24.8990263252795,49.9754901960784
30,60636,7.710108303249097,4.969133574007221,5.4702166064981945,27831.0,18491.0,2383.669839,948.6623952,2229.141811,1303.0,7.24532771782048,31.3805601317957,78.8974200009538,10.0815489532167,1.12126792055767
31,60637,3.0735546038543897,3.332269807280514,1.9077730192719484,31720.0,29713.0,2751.077827,935.1941997,2108.57686,1291.0,5.47186711179871,33.7738015293633,87.7973112719752,34.7566467625179,14.89275760391
32,60638,6.305704387990762,7.520600461893765,3.243163972286374,76258.0,33003.0,818.493636,126.2295168,146.290743,569.0,2.36944317237402,6.90534909431074,85.0645525501939,23.1701929213097,40.6994691226106
33,60639,5.940154320987654,6.749444444444445,3.2460339506172837,53197.0,22417.0,2063.226585,544.1870956,1254.774483,1235.0,5.06019754254373,17.3872774916418,69.7992991398535,15.010088138473,9.01423003919719
34,60640,2.428457583547558,2.65280205655527,1.9037703513281918,63660.0,48583.0,1550.604239,264.6654374,381.4356884,2139.0,5.01043214602002,19.0005400864138,92.0441847258605,61.0855666892597,55.4536622703721
35,60641,4.418833208676141,6.241151832460733,3.4040463724756918,72950.0,34565.0,1404.401567,287.8485337,459.1956156,901.0,2.98420955908339,11.5066823509403,82.0935739364742,32.2038050134727,35.4097714181091
36,60642,2.2372822299651567,1.243205574912892,1.0951219512195123,131201.0,77312.0,1076.700303,131.8838716,214.0265077,197.0,1.48085664745302,8.11607769716827,95.8466096483873,75.9461121359495,63.3713857958267
37,60643,8.35268544600939,6.556460093896714,3.5512206572769953,73285.0,37873.0,1705.193726,413.1798736,1066.324539,762.0,4.56634001545155,14.4162561072838,92.6876165877457,36.91203902999,21.2004980319704
38,60644,5.307142857142857,4.066806722689075,2.761764705882353,31816.0,18426.0,2990.778663,1222.738852,2600.019557,2278.0,6.9777863132962,29.6776822285604,84.3230026673441,11.6632795630636,3.80222548813773
39,60645,3.7455968688845402,6.711545988258317,2.9373776908023483,63488.0,31554.0,834.0217253,147.0621838,230.767219,653.0,3.0439028444389,16.9034297718339,86.7627251370399,45.7791699295223,44.3284964495215
40,60646,9.285740072202167,10.874981949458485,3.2567629362214197,103913.0,57524.0,323.1620731,35.822947,39.11162248,181.0,3.11223964588409,6.52300724016059,93.6369307548347,54.0764911943951,71.2507672372639
